carrier,name
MQ,American Eagle
AA,American Airlines
DL,Delta Air Lines
US,US Airways
UA,United Airlines
WN,Southwest Airlines
XE,ExpressJet
CO,Continental Airlines
FL,AirTran
F9,Frontier Airlines
YV,Mesa Airlines
EV,ExpressJet
OO,SkyWest
NA,National Airlines
AS,Alaska Airlines
B6,JetBlue Airways
